Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,140.7,141.0,140.33,140.56,2484957.0,0.0,1.0,134.2370420436839,134.523261749534,133.88403773980218,134.10347284762057,2484957.0
2017-12-27,140.42,141.15,140.2,140.57,3753629.0,0.0,1.0,133.9699036515572,134.66637160245904,133.76000920060045,134.1130135044822,3753629.0
2017-12-26,140.46,140.54,139.68,140.09,3271087.0,0.0,1.0,134.00806627900388,134.08439153389722,133.2638950437937,133.65506197512212,3271087.0
2017-12-22,140.9,141.35,140.04,140.12,4665587.0,0.0,1.0,134.4278551809173,134.8571847396924,133.60735869081375,133.68368394570712,4665587.0
2017-12-21,141.76,142.17,141.02,141.06,5863130.0,0.0,1.0,135.24835167102083,135.63951860234926,134.54234306325733,134.580505690704,5863130.0
2017-12-20,142.29,142.58,141.08,141.16,6289709.0,0.0,1.0,135.7540064846893,136.0306855336777,134.59958700442735,134.6759122593207,6289709.0
2017-12-19,141.72,142.38,141.36,141.78,6573080.0,0.0,1.0,135.21018904357416,135.83987239644432,134.8667253965541,135.26743298474418,6573080.0
2017-12-18,142.43,143.8,141.401,141.8,5833146.0,0.0,1.0,135.8875756807527,137.19464567080135,134.90584208968693,135.28651429846752,5833146.0
2017-12-15,142.73,143.14,141.78,142.46,12516980.0,0.0,1.0,136.17379538660273,136.56496231793116,135.26743298474418,135.91619765133768,12516980.0
2017-12-14,143.6,143.62,141.61,141.65,5337934.0,0.0,1.0,137.00383253356796,137.0229138472913,135.10524181809583,135.1434044455425,5337934.0
2017-12-13,142.5,143.43,142.21,142.89,6118375.0,0.0,1.0,135.95436027878435,136.8416413669196,135.67768122979595,136.32644589638943,6118375.0
2017-12-12,142.06,143.57,142.04,142.6,8016720.0,0.0,1.0,135.53457137687093,136.97521056298294,135.51549006314758,136.04976684740106,8016720.0
2017-12-11,140.1,141.17,139.83,141.14,4358620.0,0.0,1.0,133.66460263198377,134.68545291618236,133.40700489671872,134.65683094559736,4358620.0
2017-12-08,140.0,140.76,139.8,140.59,5101341.0,0.0,1.0,133.5691960633671,134.29428598485393,133.37838292613372,134.13209481820556,5101341.0
2017-12-07,141.0,141.499,139.26,140.01,4713151.0,0.0,1.0,134.523261749534,134.9993405269313,132.86318745560357,133.57873672022876,4713151.0
2017-12-06,140.25,141.96,140.19,141.06,5591327.0,0.0,1.0,133.80771248490882,135.43916480825425,133.7504685437388,134.580505690704,5591327.0
2017-12-05,139.88,140.81,139.2,139.67,6745135.0,0.0,1.0,133.45470818102706,134.3419892691623,132.80594351443355,133.254354386932,6745135.0
2017-12-04,140.62,141.5,138.93,139.01,5916673.0,0.0,1.0,134.16071678879058,135.00029459261745,132.5483457791685,132.62467103406183,5916673.0
2017-12-01,139.57,140.53,138.6,139.98,5990474.0,0.0,1.0,133.1589478183153,134.07485087703554,132.2335041027334,133.55011474964374,5990474.0
2017-11-30,140.06,140.28,138.48,139.33,8941891.0,0.0,1.0,133.6264400045371,133.8363344554938,132.11901622039338,132.92997205363528,8941891.0
2017-11-29,140.22,140.63,138.95,139.81,5851339.0,0.0,1.0,133.7790905143238,134.17025744565223,132.56742709289182,133.38792358299537,5851339.0
2017-11-28,138.3,140.53,138.2517,140.02,5052825.0,0.0,1.0,131.94728439688336,134.07485087703554,131.90120302424148,133.58827737709044,5052825.0
2017-11-27,137.51,138.31,137.48,138.1,3933071.0,0.84,1.0,131.19357250481147,131.956825053745,131.16495053422648,131.75647125964997,3933071.0
2017-11-24,137.5,138.38,137.31,138.01,2606832.0,0.0,1.0,130.39092268750449,131.22542459270448,130.21074613979084,130.87455447347267,2606832.0
2017-11-22,138.3,138.38,136.6,137.29,3917467.0,0.0,1.0,131.14956078314088,131.22542459270448,129.53745482991354,130.1917801873999,3917467.0
2017-11-21,138.45,139.26,138.19,138.34,5657581.0,0.0,1.0,131.29180542607267,132.0599264979045,131.04524804499087,131.18749268792268,5657581.0
2017-11-20,138.15,138.56,137.74,137.93,4265964.0,0.0,1.0,131.00731614020904,131.39611816422268,130.6185141161954,130.79869066390904,4265964.0
2017-11-17,138.3,138.86,137.89,138.0,4247381.0,0.0,1.0,131.14956078314088,131.68060745008634,130.7607587591272,130.86507149727723,4247381.0
2017-11-16,139.42,139.68,138.64,138.87,4174302.0,0.0,1.0,132.2116541170318,132.45821149811366,131.4719819737863,131.69009042628178,4174302.0
2017-11-15,139.23,139.83,138.75,139.1,4811462.0,0.0,1.0,132.03147756931816,132.60045614104547,131.57629471193633,131.90819887877726,4811462.0
2017-11-14,139.57,140.2843,138.92,139.49,4078194.0,0.0,1.0,132.3538987599636,133.03126774960498,131.73750530725906,132.2780349504,4078194.0
2017-11-13,139.01,140.02,138.42,139.76,4322275.0,0.0,1.0,131.82285209301816,132.7806326887591,131.2633564974863,132.53407530767726,4322275.0
2017-11-10,140.13,140.13,138.61,139.56,4240486.0,0.0,1.0,132.8849454269091,132.8849454269091,131.44353304519998,132.34441578376817,4240486.0
2017-11-09,140.86,141.41,139.8,140.35,3513501.0,0.0,1.0,133.5772026891773,134.09876637992733,132.5720072124591,133.0935709032091,3513501.0
2017-11-08,139.7,141.87,139.4601,141.32,4371556.0,0.0,1.0,132.47717745050454,134.53498328491827,132.2496808515756,134.01341959416823,4371556.0
2017-11-07,140.08,140.15,138.91,139.77,4201853.0,0.0,1.0,132.83753054593186,132.9039113793,131.7280223310636,132.54355828387273,4201853.0
2017-11-06,140.01,140.49,139.72,139.76,4220661.0,0.0,1.0,132.77114971256364,133.2263325699455,132.49614340289546,132.53407530767726,4220661.0
2017-11-03,139.73,140.4,139.3,140.08,2736951.0,0.0,1.0,132.5056263790909,133.1409857841864,132.09785840268637,132.83753054593186,2736951.0
2017-11-02,140.11,140.29,139.11,139.93,3493555.0,0.0,1.0,132.8659794745182,133.03667304603638,131.91768185497273,132.695285903,3493555.0
2017-11-01,139.83,140.59,139.34,139.98,5006771.0,0.0,1.0,132.60045614104547,133.32116233190004,132.13579030746817,132.74270078397728,5006771.0
2017-10-31,140.02,140.26,138.98,139.41,4832136.0,0.0,1.0,132.7806326887591,133.00822411745,131.7944031644318,132.20217114083636,4832136.0
2017-10-30,141.08,141.21,139.32,140.0,6034336.0,0.0,1.0,133.78582816547734,133.90910685601824,132.11682435507726,132.7616667363682,6034336.0
2017-10-27,141.0,142.7,140.2,141.78,5140654.0,0.0,1.0,133.70996435591368,135.322070309141,132.95132626027728,134.44963649915917,5140654.0
